epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15005.7,1.33171,0.7548,1.20325,0.91847,0.9172,0.95993,0.63028,1.22527,0.57923,1.18909,0.005842,0.005842,0.005842
44,15357.9,1.33102,0.74631,1.20222,0.91778,0.91704,0.95987,0.63064,1.22466,0.57712,1.18873,0.005743,0.005743,0.005743
45,15699.5,1.32937,0.7439,1.1986,0.91689,0.91984,0.96012,0.63163,1.22319,0.57563,1.18743,0.005644,0.005644,0.005644
46,16040.7,1.32446,0.74134,1.1994,0.91673,0.91868,0.95998,0.6317,1.2219,0.57367,1.18636,0.005545,0.005545,0.005545
47,16378.1,1.31686,0.74029,1.19552,0.91644,0.9183,0.96,0.63224,1.22033,0.5725,1.18559,0.005446,0.005446,0.005446
48,16718.5,1.30856,0.73015,1.18714,0.91791,0.919,0.96019,0.63273,1.21941,0.57122,1.18469,0.005347,0.005347,0.005347
49,17063.9,1.30679,0.73294,1.18452,0.91886,0.9185,0.96039,0.63281,1.21936,0.57029,1.18413,0.005248,0.005248,0.005248
50,17415.8,1.31061,0.73854,1.18647,0.92034,0.91753,0.96056,0.63336,1.21813,0.56958,1.1832,0.005149,0.005149,0.005149
51,17766.3,1.30453,0.73042,1.1841,0.92111,0.91762,0.96077,0.63359,1.21697,0.5685,1.18243,0.00505,0.00505,0.00505
52,18109.1,1.30184,0.72039,1.18086,0.92132,0.91753,0.96077,0.63408,1.21622,0.56723,1.18182,0.004951,0.004951,0.004951
53,18446.6,1.29863,0.72189,1.18066,0.92162,0.91793,0.96073,0.63425,1.21528,0.56621,1.18104,0.004852,0.004852,0.004852
54,18791.6,1.29233,0.71698,1.17927,0.92225,0.91729,0.96091,0.63441,1.21438,0.56512,1.18055,0.004753,0.004753,0.004753
55,19136.5,1.2911,0.72113,1.1816,0.92202,0.91774,0.96073,0.63492,1.21327,0.5641,1.18006,0.004654,0.004654,0.004654
56,19480.9,1.29046,0.71411,1.17515,0.92302,0.91716,0.96088,0.63557,1.212,0.56286,1.17918,0.004555,0.004555,0.004555
57,19823.1,1.29027,0.70957,1.17734,0.92408,0.91774,0.96142,0.63588,1.21109,0.56204,1.17844,0.004456,0.004456,0.004456
58,20162,1.28862,0.70633,1.17664,0.92524,0.91732,0.96147,0.63583,1.21091,0.56102,1.17808,0.004357,0.004357,0.004357
59,20502.9,1.28446,0.7128,1.17436,0.92251,0.91921,0.96156,0.63671,1.20992,0.56024,1.1775,0.004258,0.004258,0.004258
60,20843.6,1.27216,0.69917,1.16944,0.92374,0.92005,0.96191,0.63778,1.20917,0.55941,1.17693,0.004159,0.004159,0.004159
61,21192.1,1.27188,0.70555,1.1667,0.92338,0.92036,0.96185,0.63821,1.20813,0.55878,1.17631,0.00406,0.00406,0.00406
62,21531.3,1.27221,0.69484,1.16597,0.92469,0.91952,0.96196,0.6384,1.20664,0.55823,1.17544,0.003961,0.003961,0.003961
63,21866.1,1.26873,0.6925,1.16402,0.92533,0.91938,0.96189,0.63904,1.20575,0.55743,1.17471,0.003862,0.003862,0.003862
64,22207.2,1.26494,0.69371,1.16348,0.92431,0.91973,0.96185,0.63931,1.2047,0.55655,1.17398,0.003763,0.003763,0.003763
65,22548.1,1.2622,0.69173,1.16017,0.92615,0.919,0.962,0.63981,1.20355,0.55581,1.17317,0.003664,0.003664,0.003664
66,22901.6,1.2574,0.68956,1.15815,0.92635,0.91952,0.96223,0.63999,1.20287,0.55477,1.17269,0.003565,0.003565,0.003565
67,23245.1,1.25605,0.68568,1.15617,0.9267,0.91945,0.96258,0.6405,1.20237,0.55365,1.17231,0.003466,0.003466,0.003466
68,23590.3,1.24949,0.68224,1.15395,0.92661,0.91948,0.96256,0.64068,1.20151,0.55303,1.17174,0.003367,0.003367,0.003367
69,23933.2,1.24458,0.6697,1.14907,0.9285,0.9185,0.9628,0.6407,1.20053,0.5522,1.17097,0.003268,0.003268,0.003268
70,24277.4,1.24442,0.6769,1.14843,0.92786,0.91913,0.96307,0.64122,1.19949,0.55111,1.17035,0.003169,0.003169,0.003169
71,24615.9,1.23956,0.67535,1.14931,0.92827,0.91837,0.963,0.64175,1.1982,0.55026,1.16952,0.00307,0.00307,0.00307
72,24966.6,1.23048,0.66617,1.14247,0.92821,0.919,0.96316,0.64223,1.19707,0.54958,1.16868,0.002971,0.002971,0.002971
73,25307.8,1.23462,0.66862,1.1446,0.9276,0.91966,0.96345,0.64263,1.19607,0.54866,1.1679,0.002872,0.002872,0.002872
74,25651.2,1.23045,0.66482,1.14269,0.92807,0.91973,0.96343,0.64319,1.1952,0.5475,1.16727,0.002773,0.002773,0.002773
75,26003.2,1.22362,0.65928,1.1401,0.92854,0.91942,0.96339,0.64369,1.19414,0.54634,1.16658,0.002674,0.002674,0.002674
76,26342.3,1.22094,0.6597,1.13499,0.92894,0.91913,0.96361,0.64401,1.19278,0.54492,1.16581,0.002575,0.002575,0.002575
77,26680.1,1.21609,0.65198,1.13654,0.92771,0.91987,0.96388,0.64447,1.19203,0.54398,1.16522,0.002476,0.002476,0.002476
78,27019,1.21201,0.64677,1.13331,0.926,0.92141,0.96401,0.64465,1.19152,0.54286,1.16474,0.002377,0.002377,0.002377
79,27363.7,1.20846,0.64689,1.12942,0.92693,0.92078,0.96395,0.64499,1.19073,0.54182,1.16403,0.002278,0.002278,0.002278
80,27710.4,1.20359,0.64043,1.12923,0.92589,0.9213,0.96412,0.64533,1.18975,0.54055,1.16327,0.002179,0.002179,0.002179
81,28050.7,1.19898,0.6376,1.1232,0.92639,0.9218,0.96429,0.64607,1.18885,0.53939,1.16255,0.00208,0.00208,0.00208
82,28395.8,1.19781,0.63641,1.12657,0.92717,0.9218,0.96449,0.64661,1.188,0.53828,1.16174,0.001981,0.001981,0.001981
83,28738.8,1.19744,0.63291,1.12528,0.92644,0.92225,0.96452,0.64695,1.18734,0.53715,1.16105,0.001882,0.001882,0.001882
84,29088.9,1.19571,0.63404,1.12152,0.92644,0.92235,0.96479,0.64747,1.18666,0.53595,1.16028,0.001783,0.001783,0.001783
85,29427.3,1.1858,0.62753,1.11643,0.92639,0.92298,0.96503,0.64783,1.18551,0.53472,1.15935,0.001684,0.001684,0.001684
86,29776.6,1.18264,0.62303,1.11876,0.92782,0.92246,0.96504,0.64833,1.18459,0.53355,1.15877,0.001585,0.001585,0.001585
87,30125.2,1.18152,0.62332,1.11573,0.92871,0.92286,0.96518,0.64882,1.18344,0.53243,1.15779,0.001486,0.001486,0.001486
88,30515.2,1.17319,0.61683,1.11508,0.92947,0.92225,0.96514,0.64929,1.18246,0.53117,1.15702,0.001387,0.001387,0.001387
89,30940.3,1.16521,0.61357,1.11054,0.92889,0.92265,0.96534,0.64987,1.18157,0.53005,1.15644,0.001288,0.001288,0.001288
90,31397.3,1.16189,0.61383,1.1086,0.92873,0.92329,0.96545,0.65056,1.18048,0.5289,1.15562,0.001189,0.001189,0.001189
91,31817.5,1.13545,0.55984,1.11938,0.93025,0.92361,0.9656,0.65079,1.17907,0.52758,1.15467,0.00109,0.00109,0.00109
92,32213.6,1.12612,0.55379,1.11484,0.93096,0.92264,0.96568,0.65155,1.17755,0.5266,1.15381,0.000991,0.000991,0.000991
93,32607.3,1.1208,0.54206,1.11176,0.9308,0.92317,0.96596,0.65228,1.17619,0.52549,1.15287,0.000892,0.000892,0.000892
94,33002.4,1.11127,0.54214,1.10409,0.93056,0.92401,0.96613,0.65274,1.175,0.52424,1.15195,0.000793,0.000793,0.000793
95,33399.3,1.10572,0.53617,1.10167,0.92996,0.9255,0.96659,0.65369,1.17379,0.52309,1.15103,0.000694,0.000694,0.000694
96,33794.9,1.09999,0.5299,1.10071,0.9296,0.92591,0.96661,0.65436,1.17244,0.52183,1.15017,0.000595,0.000595,0.000595
97,34192.6,1.09788,0.53163,1.09705,0.9284,0.92759,0.9669,0.65499,1.17106,0.52043,1.14928,0.000496,0.000496,0.000496
98,34592.4,1.08778,0.52401,1.09212,0.9292,0.927,0.96706,0.65565,1.17018,0.51935,1.14845,0.000397,0.000397,0.000397
99,34994.9,1.08739,0.52504,1.09639,0.92934,0.92616,0.9672,0.65608,1.16893,0.51816,1.14768,0.000298,0.000298,0.000298
100,35397.4,1.07836,0.51697,1.09046,0.93007,0.92542,0.96707,0.65681,1.16754,0.51714,1.14681,0.000199,0.000199,0.000199
