epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12054.5,1.75361,1.57634,1.40029,0.81093,0.78787,0.85548,0.41621,1.686,1.10394,1.43619,0.000666398,0.000666398,0.000666398
2,23687.8,1.63238,1.07213,1.35594,0.88268,0.81753,0.90229,0.48595,1.56043,0.92718,1.37616,0.000673198,0.000673198,0.000673198
